"","N_B_RNA3","N_B_RNA5","M_W_RNA6","N_B_RNA10","N_B_RNA11","M_W_RNA12","M_W_RNA14","M_W_RNA16","M_W_RNA17"
"ENSG00000230679.1",7,5,8,14,13,0,5,5,10
"ENSG00000201725.1",0,0,0,0,0,0,0,0,0
"ENSG00000238249.2",0,1,0,0,0,0,0,0,0
"ENSG00000232208.2",0,0,0,0,0,0,0,0,0
"ENSG00000232663.2",0,0,0,0,0,0,0,0,0
"ENSG00000131686.14",0,0,0,0,1,0,1,0,0
"ENSG00000265141.2",0,0,0,0,1,0,0,1,0
"ENSG00000197241.3",0,0,7,2,0,0,0,0,5
"ENSG00000142583.17",230,326,70,3831,1603,13,1029,25,3216
"ENSG00000252404.1",0,0,0,0,0,0,0,0,0
"ENSG00000180758.11",99,342,201,318,452,112,211,150,304
"ENSG00000228526.7",50,106,35,92,96,60,93,53,156
"ENSG00000284357.1",0,0,0,0,0,0,0,0,0
"ENSG00000234546.3",13,67,40,45,46,16,28,31,45
"ENSG00000049239.12",880,3116,2072,2807,2158,901,2299,2177,3090
"ENSG00000171621.13",341,236,443,330,251,244,307,186,648
"ENSG00000284652.1",5,1,2,0,0,0,3,1,1
"ENSG00000284693.1",11,22,10,7,15,6,10,16,12
"ENSG00000252956.1",0,0,0,0,0,0,0,0,0
"ENSG00000235263.1",0,0,0,0,0,0,0,0,0
"ENSG00000171612.6",23,375,1065,394,912,639,297,802,460
"ENSG00000231181.1",4,15,14,2,12,3,18,25,12
"ENSG00000188807.12",89,163,206,127,142,18,129,106,99
"ENSG00000171608.15",66,164,37,185,85,85,173,53,91
"ENSG00000179840.5",0,0,0,0,0,0,0,0,0
"ENSG00000233268.3",0,0,0,0,0,0,0,0,0
"ENSG00000231789.2",22,25,23,23,28,23,23,4,21
"ENSG00000171603.17",2657,10557,12088,7217,13246,7258,5643,5211,7258
"ENSG00000271264.1",0,0,0,0,0,0,0,0,0
"ENSG00000280113.2",0,1,2,4,4,7,2,0,5
"ENSG00000178585.14",469,1372,1341,1206,1456,286,961,919,1034
"ENSG00000223989.1",0,0,0,0,4,0,0,1,0
"ENSG00000285701.1",0,0,0,4,0,0,0,0,0
"ENSG00000162441.11",352,1054,1050,1005,1373,951,697,979,1038
"ENSG00000228150.1",0,9,7,6,1,8,5,0,4
"ENSG00000173614.13",101,348,271,255,528,235,227,288,305
"ENSG00000202415.1",0,0,0,1,4,5,2,5,5
"ENSG00000283611.2",0,0,0,0,0,0,0,0,0
"ENSG00000265521.1",0,1,0,3,4,8,0,1,1
"ENSG00000241326.1",0,0,0,0,0,0,0,0,0
"ENSG00000162444.11",16,152,328,114,312,347,136,17,89
"ENSG00000130939.18",409,1840,2640,1690,2905,2214,1422,2120,2060
"ENSG00000224340.1",0,0,0,0,0,0,0,0,0
"ENSG00000233623.2",0,2,7,5,10,5,19,0,5
"ENSG00000201746.1",0,0,0,1,2,0,1,2,0
