"","N_B_RNA3","N_B_RNA5","N_W_RNA7","N_B_RNA10","N_B_RNA11","N_W_RNA13","N_W_RNA15","N_W_RNA18"
"ENSG00000259961.1",0,0,0,0,0,0,0,0
"ENSG00000215909.3",0,0,0,0,0,0,0,0
"ENSG00000162493.16",193,433,591,234,365,305,301,501
"ENSG00000222952.1",0,0,0,0,0,0,0,0
"ENSG00000237445.2",0,0,0,0,0,0,0,0
"ENSG00000253085.1",0,0,0,1,0,0,0,0
"ENSG00000116731.22",710,2131,2532,2003,2402,2242,2670,2934
"ENSG00000189337.16",103,203,250,180,147,196,170,213
"ENSG00000252151.1",0,0,0,0,0,0,0,0
"ENSG00000231606.1",0,0,0,0,0,0,0,0
"ENSG00000234593.2",0,0,0,0,0,0,0,0
"ENSG00000235829.1",0,0,0,0,0,0,0,0
"ENSG00000175147.12",50,98,42,165,95,78,90,139
"ENSG00000171729.13",124,201,240,223,143,143,137,240
"ENSG00000204464.7",0,1,0,0,0,0,0,0
"ENSG00000215720.4",0,0,0,0,0,0,0,0
"ENSG00000278480.1",0,0,0,0,3,1,0,0
"ENSG00000142621.19",15,46,21,52,42,40,23,53
"ENSG00000233485.1",40,67,20,239,17,8,17,7
"ENSG00000236045.1",0,17,6,21,0,3,1,3
"ENSG00000228140.1",0,4,0,4,3,8,3,5
"ENSG00000142634.12",172,791,517,762,641,477,737,600
"ENSG00000162438.11",0,6,0,2,0,1,0,1
"ENSG00000142615.7",0,0,0,0,0,0,1,0
"ENSG00000215704.9",0,0,0,0,0,0,0,0
"ENSG00000132906.17",153,518,604,510,441,339,626,411
"ENSG00000116138.12",309,1337,2296,1511,2435,1295,1875,1665
"ENSG00000251866.1",0,1,3,3,13,1,7,5
"ENSG00000272510.1",0,0,0,0,0,0,1,0
"ENSG00000116771.5",9,29,56,34,84,35,44,49
"ENSG00000237301.1",0,0,2,5,7,6,6,1
"ENSG00000235084.3",9,8,1,7,9,4,7,10
"ENSG00000252417.1",0,0,0,0,0,0,0,1
"ENSG00000236500.1",0,0,0,0,1,0,0,0
"ENSG00000197312.11",903,4856,5116,4492,7038,4006,5597,3901
"ENSG00000215695.1",0,0,0,0,0,0,0,0
"ENSG00000271742.1",0,0,0,0,0,0,0,0
"ENSG00000116786.12",335,709,728,545,819,850,909,806
"ENSG00000237938.5",0,0,0,0,0,0,0,0
"ENSG00000162461.7",1,11,4,7,13,25,6,10
"ENSG00000224459.1",0,0,0,0,0,1,0,0
"ENSG00000162460.6",0,0,0,0,0,0,0,0
"ENSG00000162458.12",980,1681,1293,847,651,832,1135,892
"ENSG00000224321.1",28,1,3,3,0,1,2,6
"ENSG00000233954.6",34,127,193,116,160,14,103,119
"ENSG00000178715.8",4,0,1,2,4,1,2,0
"ENSG00000179743.4",18,56,57,48,99,37,57,41
"ENSG00000065526.10",1366,3981,5756,4602,5575,5277,5645,5771
"ENSG00000270620.1",0,0,0,0,0,0,0,0
"ENSG00000116809.11",148,281,289,259,358,398,383,321
"ENSG00000234607.2",0,0,0,0,0,0,0,0
"ENSG00000231353.1",0,0,0,0,0,0,0,0
"ENSG00000275503.1",0,0,0,0,0,0,0,0
"ENSG00000224966.4",0,0,0,0,0,0,0,0
"ENSG00000183888.4",18,1,53,6,51,68,16,63
"ENSG00000233078.1",0,0,0,0,0,0,0,0
"ENSG00000173641.17",98,285,73,62,49,89,90,51
"ENSG00000186510.11",34,10,17,24,11,26,1,49
"ENSG00000232456.1",0,0,0,0,0,0,0,2
"ENSG00000184908.17",0,1,19,27,1,9,1,7
"ENSG00000185519.8",0,0,0,1,0,0,0,0
"ENSG00000142627.12",246,403,264,340,196,533,174,353
"ENSG00000227959.1",7,0,0,3,0,5,2,12
"ENSG00000224621.1",17,4,2,1,4,6,0,7
"ENSG00000234166.1",0,0,0,0,0,0,2,0
"ENSG00000142632.16",140,310,208,218,180,253,131,193
"ENSG00000237276.8",5,2,14,6,14,3,5,13
"ENSG00000132881.11",18,42,71,60,70,56,73,35
"ENSG00000233929.1",0,0,0,0,1,1,1,3
"ENSG00000037637.10",411,1741,2121,1518,2108,1500,2001,1463
"ENSG00000055070.16",763,1709,2796,1737,2503,1631,2361,2167
"ENSG00000226457.1",0,0,1,0,0,0,0,0
"ENSG00000187144.11",0,0,0,0,0,1,0,0
"ENSG00000157191.19",368,827,1206,838,956,695,1046,1067
"ENSG00000226029.1",5,24,37,22,28,35,30,10
"ENSG00000080947.14",73,183,109,194,198,383,217,156
"ENSG00000206652.1",15,0,4,1,0,6,3,0
"ENSG00000261135.1",0,1,2,0,1,0,0,0
"ENSG00000285853.1",0,0,0,0,0,0,0,0
"ENSG00000224174.2",0,0,0,0,0,0,0,0
"ENSG00000233421.4",0,2,0,1,0,0,0,2
"ENSG00000277344.1",0,0,0,0,0,0,0,0
"ENSG00000225710.1",0,0,0,0,0,0,0,0
"ENSG00000219481.10",298,617,519,433,1056,720,642,497
"ENSG00000271732.1",0,0,0,0,6,0,0,0
"ENSG00000215908.10",107,512,389,424,627,671,486,539
"ENSG00000283773.1",0,0,0,0,0,0,0,0
"ENSG00000186301.8",8,16,27,36,21,19,13,26
"ENSG00000282143.1",0,0,0,0,0,0,0,0
"ENSG00000207513.1",18,85,19,141,71,3,60,0
"ENSG00000280114.1",0,0,0,0,0,1,2,0
"ENSG00000236698.1",1,0,5,2,5,3,5,5
"ENSG00000268869.5",0,0,0,0,0,2,0,0
"ENSG00000279151.1",0,0,0,0,0,0,0,0
"ENSG00000282740.1",0,0,0,0,0,0,0,0
"ENSG00000058453.16",96,199,143,253,261,472,299,165
"ENSG00000227684.2",0,0,1,0,0,0,1,0
"ENSG00000207389.1",52,0,3,0,5,0,2,1
"ENSG00000186715.11",24,11,36,14,38,18,21,32
"ENSG00000223643.6",0,0,0,0,0,0,0,0
"ENSG00000230239.1",0,0,0,0,0,0,1,0
"ENSG00000263811.1",0,0,0,0,0,0,0,0
"ENSG00000228549.3",0,1,0,0,0,0,0,0
"ENSG00000277234.1",0,0,0,0,0,0,0,0
"ENSG00000238142.1",3,26,39,14,22,7,22,2
"ENSG00000235241.1",0,0,0,0,0,0,0,0
"ENSG00000207005.1",11,2,9,5,0,2,5,1
"ENSG00000272426.1",0,0,1,0,1,2,0,1
"ENSG00000117122.13",13,43,46,34,24,21,27,40
"ENSG00000226526.1",0,0,0,0,2,1,0,1
"ENSG00000159363.17",138,518,751,354,622,498,755,495
"ENSG00000117118.9",186,911,1470,725,1203,640,1091,756
"ENSG00000117115.12",292,107,850,128,104,358,196,469
"ENSG00000204362.6",0,0,2,0,0,0,0,6
"ENSG00000282843.1",0,0,1,0,0,0,0,0
"ENSG00000142623.10",0,0,6,6,8,0,2,21
"ENSG00000142619.4",0,5,17,147,14,0,8,18
"ENSG00000266634.1",0,0,0,0,0,0,0,0
"ENSG00000159339.13",0,0,1,0,1,4,2,3
"ENSG00000276747.1",0,0,0,0,0,0,0,0
"ENSG00000227751.1",0,0,0,0,0,0,0,0
"ENSG00000179051.13",720,1454,2414,1474,1636,1299,1608,1913
"ENSG00000074964.16",369,714,774,637,552,654,560,786
"ENSG00000236648.1",0,0,0,0,0,1,0,0
"ENSG00000117148.7",0,0,0,0,0,0,0,0
"ENSG00000284653.1",0,0,0,0,0,0,0,0
"ENSG00000261781.1",0,0,0,2,0,0,0,0
"ENSG00000117154.11",13,28,189,83,161,25,41,36
"ENSG00000280222.1",29,9,13,21,14,25,8,6
"ENSG00000230035.2",0,0,0,0,0,1,0,0
"ENSG00000225387.1",0,0,2,0,0,0,0,0
"ENSG00000179023.8",10,43,32,22,1,8,27,83
"ENSG00000235282.3",0,0,0,0,0,0,0,0
"ENSG00000225478.2",0,0,0,0,0,0,0,0
"ENSG00000009709.11",6,1,0,0,0,0,0,0
"ENSG00000179002.5",0,0,0,0,0,0,0,0
"ENSG00000255275.3",0,0,1,0,0,0,4,0
"ENSG00000159423.16",246,1394,1012,1477,1446,1221,1127,907
"ENSG00000265606.1",0,0,0,0,0,0,0,0
"ENSG00000221662.1",0,6,0,4,3,1,1,1
"ENSG00000169991.10",155,531,693,381,438,519,475,501
"ENSG00000272084.1",7,13,10,9,13,16,8,15
"ENSG00000127481.14",3502,9892,12376,9564,11987,9737,12800,11967
"ENSG00000230424.1",0,11,38,31,31,23,30,32
"ENSG00000127463.14",538,2564,3867,2101,3875,2175,3053,2439
"ENSG00000053372.4",166,509,960,539,850,529,664,811
"ENSG00000211454.13",0,11,11,6,7,7,7,8
"ENSG00000162482.4",5,14,34,28,20,29,15,15
"ENSG00000270728.1",0,7,1,0,0,0,0,0
"ENSG00000053371.12",143,696,1076,770,941,570,946,577
"ENSG00000200403.1",0,2,2,0,0,0,0,0
"ENSG00000040487.12",48,190,234,142,208,147,163,133
"ENSG00000077549.17",786,3353,3226,3288,3451,2357,3773,2778
"ENSG00000240490.3",10,5,4,0,8,2,3,2
"ENSG00000173436.14",65,464,644,493,754,499,604,408
"ENSG00000201609.1",0,0,1,3,0,0,0,0
"ENSG00000235185.1",0,8,0,3,0,0,2,0
"ENSG00000158747.14",1196,8039,4033,8557,5855,6675,5976,3720
"ENSG00000270136.6",0,0,0,0,0,0,0,0
"ENSG00000226396.1",29,25,21,67,53,52,47,26
"ENSG00000158748.3",0,0,1,1,0,2,0,0
"ENSG00000162542.13",417,1214,1305,1246,1685,1361,1710,1219
"ENSG00000178828.6",0,5,10,5,0,2,4,15
"ENSG00000235434.1",0,0,0,0,0,0,0,0
"ENSG00000169914.5",115,544,766,599,766,660,800,738
"ENSG00000188784.4",0,0,0,0,0,0,0,0
"ENSG00000242688.3",0,0,0,0,0,0,0,0
"ENSG00000188257.11",1072,261,1615,6152,3458,3997,13878,14871
"ENSG00000127472.10",16,119,85,41,129,71,116,78
"ENSG00000117215.14",0,2,9,2,5,1,3,6
"ENSG00000158786.4",0,8,10,7,5,9,9,8
"ENSG00000227066.1",0,2,0,6,0,0,0,0
"ENSG00000187980.6",0,0,4,2,5,2,10,0
"ENSG00000225986.1",11,17,20,2,0,6,15,15
"ENSG00000162543.5",84,219,133,91,59,79,159,66
"ENSG00000228105.1",0,0,0,0,0,0,0,0
"ENSG00000284710.1",0,0,0,0,0,0,0,0
"ENSG00000158816.15",9,0,14,3,17,5,1,0
"ENSG00000226664.1",0,0,0,0,0,0,0,2
"ENSG00000236963.6",0,0,0,1,1,0,0,0
"ENSG00000226487.1",0,0,0,0,0,0,0,0
"ENSG00000284641.1",0,0,0,0,0,0,0,0
"ENSG00000284743.1",0,0,0,0,0,0,0,0
"ENSG00000162545.5",93,297,272,502,350,299,339,324
"ENSG00000090432.6",146,672,882,555,685,538,761,666
"ENSG00000215520.3",0,0,0,0,0,0,0,0
"ENSG00000183114.7",0,0,2,2,4,5,0,1
"ENSG00000158825.5",7,3,6,1,0,4,0,8
"ENSG00000158828.7",452,1457,2382,1469,1931,1356,2032,1459
"ENSG00000284005.1",0,0,0,0,0,0,0,0
"ENSG00000117242.7",96,299,766,308,392,441,391,446
"ENSG00000244038.9",960,3073,6131,2647,4751,2491,3967,3240
"ENSG00000117245.12",6,17,5,5,4,17,4,9
"ENSG00000235432.1",0,0,0,0,0,0,0,0
"ENSG00000189410.11",4,0,1,2,5,4,0,5
"ENSG00000233069.1",0,0,0,0,0,0,0,0
"ENSG00000127483.17",1499,5328,7569,5156,7400,5412,6890,5975
"ENSG00000075151.20",872,2829,3851,2293,3531,2436,3095,3367
"ENSG00000251914.1",0,0,0,0,0,0,0,0
"ENSG00000221808.1",0,5,9,9,19,14,5,13
"ENSG00000233072.1",0,14,18,29,8,33,16,22
"ENSG00000236073.2",0,4,8,10,7,5,10,7
"ENSG00000235112.1",1,0,0,0,0,0,0,0
"ENSG00000117298.15",1912,6591,7136,6044,6367,5258,7277,6455
"ENSG00000236936.1",0,0,0,0,0,0,0,0
"ENSG00000231105.1",0,2,2,1,5,1,1,3
"ENSG00000236216.5",0,0,0,0,0,0,0,0
"ENSG00000228823.1",0,0,0,0,0,0,0,0
"ENSG00000236009.1",0,0,0,0,0,0,0,0
"ENSG00000227001.3",5,7,34,32,9,13,44,5
"ENSG00000187952.9",0,1,0,0,0,0,0,0
"ENSG00000186543.7",0,0,0,0,0,0,0,0
"ENSG00000142794.18",98,324,466,316,604,563,387,436
"ENSG00000176378.8",0,0,0,0,0,0,0,0
"ENSG00000162551.13",43,38,157,20,35,70,49,171
"ENSG00000233431.1",0,0,0,0,0,0,0,0
"ENSG00000076864.19",396,886,2813,1317,1272,1661,1423,1030
"ENSG00000090686.15",474,2619,2904,2439,2948,2280,2645,2402
"ENSG00000231978.2",0,0,0,0,0,0,0,0
"ENSG00000187942.11",3,17,21,6,22,11,27,15
"ENSG00000142798.19",4527,8897,3513,2931,2708,4422,3911,2736
"ENSG00000232037.3",0,0,1,0,0,0,0,0
"ENSG00000283234.1",0,0,0,0,0,2,1,3
"ENSG00000219073.7",0,0,0,0,0,0,0,0
"ENSG00000285959.1",0,0,0,0,0,0,0,0
"ENSG00000273610.1",0,0,0,0,0,0,0,0
"ENSG00000201919.1",0,0,0,0,0,0,0,0
"ENSG00000142789.19",0,0,0,0,0,0,0,0
"ENSG00000278124.1",0,0,0,0,0,0,0,0
"ENSG00000201273.1",0,0,0,0,0,0,0,0
"ENSG00000228397.2",0,0,1,2,0,0,1,1
"ENSG00000218510.8",46,94,92,165,111,94,88,89
"ENSG00000285721.1",27,80,47,89,134,130,66,134
"ENSG00000285752.1",1,2,0,1,0,1,0,1
"ENSG00000285794.1",0,0,0,0,0,0,0,0
"ENSG00000070831.15",23,61,66,67,53,39,79,85
"ENSG00000230068.2",5,17,14,15,20,31,12,28
"ENSG00000271428.1",0,0,0,0,0,0,0,0
"ENSG00000162552.14",43,113,63,150,89,85,98,60
"ENSG00000285873.1",0,10,9,15,19,2,4,11
"ENSG00000266564.1",0,0,0,0,0,0,0,0
"ENSG00000234397.3",0,0,0,0,0,0,0,0
"ENSG00000279625.1",0,0,0,0,0,0,0,0
"ENSG00000184677.17",619,1582,1822,1523,1846,1601,1959,1598
"ENSG00000237200.1",0,11,8,8,8,19,18,15
"ENSG00000070886.11",0,0,0,0,0,4,4,1
"ENSG00000276835.2",0,0,0,0,0,0,0,0
"ENSG00000173372.16",165,354,523,184,164,150,167,377
"ENSG00000159189.11",217,332,573,183,206,240,243,428
"ENSG00000173369.15",515,483,810,288,326,324,351,733
"ENSG00000133216.16",91,114,193,63,30,64,74,139
"ENSG00000265422.1",0,0,0,0,0,3,0,0
"ENSG00000225952.1",0,0,0,0,0,0,0,0
"ENSG00000264014.1",0,0,0,0,0,0,0,0
"ENSG00000215906.8",0,0,0,0,0,0,0,0
"ENSG00000227868.5",0,0,5,0,0,0,3,1
"ENSG00000004487.16",641,2448,4147,2562,3491,2252,3211,2642
"ENSG00000240553.1",0,0,0,0,0,1,0,0
"ENSG00000263793.1",0,0,0,0,1,1,0,1
"ENSG00000266802.1",0,0,0,0,0,0,0,0
"ENSG00000169641.13",501,1938,2582,1781,1790,1913,2193,2295
"ENSG00000229010.1",0,0,0,0,0,0,0,0
"ENSG00000206935.1",0,0,0,0,0,0,0,0
"ENSG00000252578.1",0,0,0,0,0,0,0,0
"ENSG00000179546.4",3,5,1,10,0,2,4,8
"ENSG00000215381.3",0,0,0,0,0,0,0,0
"ENSG00000261326.3",90,519,376,581,680,554,383,607
"ENSG00000284726.1",0,0,0,0,0,1,0,0
"ENSG00000125944.19",811,5049,7409,4777,6972,4241,5648,5729
"ENSG00000125945.14",452,1477,2194,1547,1658,902,1093,1619
"ENSG00000249087.6",30,17,42,51,27,36,33,47
"ENSG00000201405.1",0,0,0,0,0,0,0,0
"ENSG00000271420.1",1,39,73,47,101,54,65,23
"ENSG00000204219.10",523,2660,4062,2319,5004,2647,3808,1621
"ENSG00000232482.2",0,0,0,0,0,0,0,0
"ENSG00000088280.18",405,1331,1859,1671,1711,1641,1848,1578
"ENSG00000007968.6",11,18,22,14,19,8,9,34
"ENSG00000235052.1",0,1,6,2,3,4,3,3
"ENSG00000117318.8",297,903,739,1333,270,452,407,308
"ENSG00000285802.1",0,0,0,0,1,0,0,0
"ENSG00000197880.8",0,1,0,5,0,0,0,0
"ENSG00000229239.2",0,0,0,0,0,0,0,0
"ENSG00000142676.14",3818,13553,25876,14875,17821,11159,16391,12681
"ENSG00000011007.12",590,2304,3540,2418,3435,1984,3041,2735
"ENSG00000236810.5",55,51,82,46,102,65,109,56
"ENSG00000057757.9",274,1421,2233,1368,2413,1180,1947,1164
"ENSG00000011009.10",149,682,742,592,727,638,824,540
"ENSG00000117308.14",40,336,308,332,497,258,329,269
"ENSG00000117305.14",172,1123,1497,1095,1355,949,1304,783
"ENSG00000179163.11",326,2447,3979,1995,3997,1854,3756,2048
"ENSG00000188822.7",4,13,22,1,1,5,1,2
"ENSG00000229106.1",0,0,3,1,0,0,0,0
"ENSG00000232557.3",0,1,0,0,0,0,0,0
"ENSG00000264926.1",0,0,0,0,0,0,0,0
"ENSG00000230228.2",4,1,0,0,0,0,0,0
"ENSG00000189266.12",301,2802,4095,2478,4879,1878,3309,2121
"ENSG00000188529.14",724,2643,3239,2509,3730,2554,2898,2975
"ENSG00000215905.4",0,0,0,0,0,0,0,0
"ENSG00000225315.2",0,0,0,0,2,0,0,0
"ENSG00000142661.18",0,17,1,0,11,2,7,10
"ENSG00000230703.1",0,0,0,0,0,0,0,0
"ENSG00000142677.3",22,31,16,18,40,22,18,35
"ENSG00000185436.11",116,390,406,391,644,425,642,317
"ENSG00000230023.2",0,0,0,1,6,1,2,0
"ENSG00000232298.2",0,6,1,7,0,1,2,0
"ENSG00000158055.15",49,43,124,121,159,75,78,90
"ENSG00000001460.17",142,336,270,242,410,331,478,222
"ENSG00000001461.16",882,9155,8793,5172,15441,12460,16315,8056
"ENSG00000117602.11",950,11544,10446,8993,19879,14147,21115,6950
"ENSG00000264443.1",0,7,9,2,5,8,14,5
"ENSG00000184454.6",61,152,229,155,170,233,503,272
"ENSG00000227312.2",3,2,2,1,2,8,18,14
"ENSG00000239106.1",0,0,0,0,0,0,0,1
"ENSG00000133226.16",1237,4852,4751,4274,6326,5134,7089,4295
"ENSG00000284699.1",0,0,0,0,0,0,0,0
"ENSG00000169504.14",964,7496,7325,3024,5835,3618,4448,5047
"ENSG00000238482.1",0,0,0,0,0,0,0,0
"ENSG00000020633.18",40,71,87,40,39,70,49,89
"ENSG00000278034.1",0,0,0,0,0,0,0,0
"ENSG00000229162.1",0,1,1,3,0,0,0,0
"ENSG00000261025.1",0,0,0,0,0,0,0,0
"ENSG00000264371.1",0,0,0,0,0,0,0,0
"ENSG00000285823.1",0,0,0,0,0,0,0,0
"ENSG00000233755.1",0,0,0,0,0,0,0,0
"ENSG00000233419.3",0,0,0,0,0,0,0,0
"ENSG00000231953.2",0,0,0,0,2,0,0,0
"ENSG00000117614.9",157,1023,1497,977,1310,724,1073,835
"ENSG00000284602.1",15,11,12,15,17,32,28,23
"ENSG00000284657.1",0,0,0,1,3,5,2,6
"ENSG00000117616.17",506,2730,2465,3106,3751,3063,3110,3191
"ENSG00000272432.1",0,7,3,1,1,1,0,0
"ENSG00000261349.1",0,23,10,14,46,14,20,0
"ENSG00000187010.20",0,5,8,4,7,1,5,0
"ENSG00000224183.1",0,7,3,3,0,0,8,0
"ENSG00000259984.1",2,1,0,12,8,8,6,12
"ENSG00000183726.10",291,2255,4666,2112,3695,1767,3229,2377
"ENSG00000188672.18",0,30,73,59,75,10,37,25
"ENSG00000238084.4",10,0,0,1,0,0,1,0
"ENSG00000204178.10",282,1795,2690,1637,3452,1271,2172,1571
"ENSG00000157978.11",332,1108,1289,1253,1379,1088,1493,943
"ENSG00000225643.1",7,4,19,9,14,9,18,8
"ENSG00000117643.14",259,932,1121,777,1274,696,1398,968
"ENSG00000233478.1",0,1,0,0,0,0,0,0
"ENSG00000162430.16",986,2649,3517,2175,3031,2624,4017,3001
"ENSG00000255054.3",0,0,0,0,0,0,0,0
"ENSG00000228172.5",0,19,22,8,17,17,20,9
"ENSG00000117640.17",303,1271,1474,1071,1089,924,1336,929
"ENSG00000272478.1",0,0,0,0,0,0,0,0
"ENSG00000127423.10",0,9,17,4,10,0,2,4
"ENSG00000236528.1",0,5,4,3,0,0,0,1
"ENSG00000182749.5",62,416,344,321,205,221,302,237
"ENSG00000207302.1",0,0,0,0,0,0,0,0
"ENSG00000117632.22",201,609,741,477,419,309,419,660
"ENSG00000229786.1",0,0,0,0,0,0,0,0
"ENSG00000223624.1",0,0,0,0,0,0,0,0
"ENSG00000283938.1",0,0,0,0,0,0,0,0
"ENSG00000158006.13",135,1029,1529,1000,1610,853,1495,1058
"ENSG00000207237.1",0,0,0,0,0,0,0,0
"ENSG00000252190.1",0,0,0,0,0,0,0,0
"ENSG00000252691.1",0,0,0,0,0,0,0,0
"ENSG00000158008.9",1,0,2,2,0,2,0,1
"ENSG00000158014.14",0,7,14,8,10,1,4,24
"ENSG00000284309.1",0,0,0,0,0,0,0,1
"ENSG00000158022.6",0,0,4,0,1,1,3,3
"ENSG00000175087.9",77,536,979,601,1088,410,578,442
"ENSG00000197245.5",24,39,16,14,8,22,4,11
"ENSG00000282872.1",0,0,0,0,0,0,0,0
"ENSG00000236782.7",0,0,1,1,0,0,1,1
"ENSG00000142684.8",48,120,263,163,174,137,205,183
"ENSG00000142675.17",165,376,474,398,431,469,509,450
"ENSG00000188782.8",0,0,0,0,0,1,0,2
"ENSG00000236155.6",0,0,0,7,1,0,1,2
"ENSG00000278572.1",0,0,1,0,0,0,0,0
"ENSG00000130695.15",79,181,382,200,269,200,194,240
"ENSG00000270733.1",0,0,0,0,0,0,0,0
"ENSG00000142669.14",309,382,667,424,534,373,649,657
"ENSG00000158062.20",114,111,138,144,154,282,244,236
"ENSG00000169442.8",83,100,107,42,22,36,59,73
"ENSG00000176092.15",39,12,13,47,25,19,8,35
"ENSG00000225854.2",0,0,1,0,0,0,0,0
"ENSG00000176083.17",0,19,4,11,14,8,14,9
"ENSG00000131914.10",0,0,0,0,0,0,1,0
"ENSG00000117682.16",236,680,1194,599,936,627,923,870
"ENSG00000223583.1",6,8,8,1,7,14,9,9
"ENSG00000225891.1",0,8,14,51,23,46,16,13
"ENSG00000198830.10",618,2614,3530,2449,2953,2161,3628,2579
"ENSG00000224129.1",0,0,0,0,0,0,0,0
"ENSG00000117676.13",471,1213,1869,1226,1671,1296,1713,1372
"ENSG00000238705.1",0,1,0,0,0,0,1,3
"ENSG00000243905.3",0,0,0,0,0,0,0,0
"ENSG00000252802.1",0,0,0,0,0,0,0,0
"ENSG00000252429.2",0,0,0,0,0,0,0,0
"ENSG00000229247.2",0,0,0,0,0,0,0,0
"ENSG00000238316.1",0,0,0,0,0,0,0,0
"ENSG00000235069.2",0,0,0,0,0,0,0,0
"ENSG00000260063.1",5,22,28,16,33,17,31,28
"ENSG00000117713.19",1651,3923,4443,3377,4866,4159,5226,4394
"ENSG00000060642.10",112,519,891,460,924,440,702,459
"ENSG00000241188.3",0,4,0,2,0,1,1,3
"ENSG00000204160.11",157,453,478,367,439,455,534,500
"ENSG00000175793.11",313,2262,1060,1647,1700,1310,1895,1549
"ENSG00000226698.1",0,0,0,0,0,1,0,0
"ENSG00000142751.14",235,650,838,643,821,528,719,707
"ENSG00000198746.12",82,210,275,178,185,214,271,224
"ENSG00000090273.13",444,1185,1742,1094,1422,1221,1787,1416
"ENSG00000131910.4",0,0,1,0,0,0,0,0
"ENSG00000175707.8",55,208,351,252,267,251,304,296
"ENSG00000172746.6",5,0,1,0,4,0,0,3
"ENSG00000224064.1",6,1,0,14,2,6,3,3
"ENSG00000225294.1",0,0,0,0,1,0,0,0
"ENSG00000253368.3",76,124,115,71,55,48,80,88
"ENSG00000158246.7",99,251,228,87,82,87,134,116
"ENSG00000090020.10",312,683,549,679,764,807,895,668
"ENSG00000229985.2",0,0,0,0,0,0,0,0
"ENSG00000214973.3",7,0,1,0,0,0,0,0
"ENSG00000225159.1",3,2,7,6,3,1,1,2
"ENSG00000225990.2",0,0,0,0,0,0,0,0
"ENSG00000224311.1",0,0,0,0,0,0,0,0
"ENSG00000142784.15",457,1241,1829,1332,1426,1378,1797,1433
"ENSG00000252098.1",0,0,0,0,0,0,0,0
"ENSG00000243659.1",6,5,11,5,19,5,17,5
"ENSG00000186501.14",271,721,845,625,870,573,974,619
"ENSG00000206888.1",0,0,0,5,5,3,5,5
"ENSG00000241547.1",5,19,3,17,10,29,20,33
"ENSG00000142765.17",486,2358,1291,1934,2829,2719,2180,1044
"ENSG00000142733.15",423,624,540,523,484,708,612,898
"ENSG00000142748.12",0,1,3,2,1,6,4,1
"ENSG00000174950.10",52,43,55,40,62,72,78,66
"ENSG00000231207.1",0,0,0,0,0,0,0,0
"ENSG00000181773.6",0,0,6,3,0,1,2,6
"ENSG00000158195.10",967,3106,3251,2273,2899,3105,3943,2940
"ENSG00000241169.1",0,0,0,0,0,0,0,0
"ENSG00000237429.1",4,3,0,3,0,2,4,4
"ENSG00000126705.14",262,381,246,202,204,388,240,253
"ENSG00000000938.12",53,80,167,49,79,85,64,191
"ENSG00000235912.1",2,0,5,5,0,2,2,2
"ENSG00000233975.1",3,0,0,0,4,0,0,0
"ENSG00000126709.14",3749,2088,781,1143,1140,379,1723,1067
"ENSG00000225886.3",0,0,0,0,0,0,0,0
"ENSG00000206767.1",0,0,0,0,0,0,0,0
"ENSG00000226662.2",0,0,0,0,0,0,0,0
"ENSG00000207095.1",0,0,0,0,0,0,0,0
"ENSG00000009780.15",163,608,599,523,635,369,610,432
"ENSG00000231344.1",0,5,1,2,7,2,8,2
"ENSG00000230833.1",0,6,0,3,0,19,3,1
"ENSG00000117758.13",293,1807,2541,1469,2352,1181,2013,1679
"ENSG00000269971.1",0,1,4,16,0,0,0,5
"ENSG00000270031.1",0,5,3,4,3,9,6,13
"ENSG00000223062.1",0,0,0,0,0,0,0,0
"ENSG00000117751.17",282,1079,1587,914,1157,747,1212,1009
"ENSG00000252947.1",0,205,310,199,271,106,57,55
"ENSG00000130775.15",264,118,234,160,100,108,125,179
"ENSG00000117748.9",144,752,1569,1148,904,471,805,626
"ENSG00000130768.14",35,64,583,111,319,108,266,214
"ENSG00000227050.1",1,2,0,4,0,5,0,2
"ENSG00000158156.7",31,125,192,104,201,80,154,114
"ENSG00000158161.15",354,1103,1541,1092,1725,1285,1348,1444
"ENSG00000238231.2",6,2,9,4,10,17,16,9
"ENSG00000240750.3",9,6,7,16,12,14,35,19
"ENSG00000228589.3",3,3,4,2,6,5,8,4
"ENSG00000228943.1",0,0,0,0,0,0,0,0
"ENSG00000214812.3",2,2,0,0,0,2,0,2
"ENSG00000253005.1",0,0,0,0,0,0,0,0
"ENSG00000169403.11",57,77,101,99,70,57,57,117
"ENSG00000126698.10",398,1437,2486,1232,1864,1131,1975,1536
"ENSG00000130770.17",186,879,1606,795,1300,887,1487,945
"ENSG00000270605.1",0,13,31,6,33,71,33,30
"ENSG00000271398.1",0,0,0,0,0,0,0,0
"ENSG00000130766.4",56,256,214,195,187,145,138,224
"ENSG00000130772.13",152,351,371,252,477,341,300,251
"ENSG00000204138.12",775,1962,2429,1751,2781,2430,2518,2255
"ENSG00000206779.1",0,0,0,0,0,0,1,0
"ENSG00000229820.2",0,3,8,7,9,7,14,20
"ENSG00000221216.1",0,0,1,0,3,0,3,8
"ENSG00000180198.16",160,262,637,307,501,296,318,351
"ENSG00000242125.3",85,147,392,236,340,197,327,239
"ENSG00000274266.1",0,0,0,0,0,0,0,0
"ENSG00000200087.1",11577,16825,42125,23055,32445,20702,6682,6367
"ENSG00000231468.2",0,0,0,0,1,0,0,1
"ENSG00000279443.1",0,5,16,1,16,5,5,9
