"","N_B_RNA3","N_B_RNA5","N_W_RNA7","N_B_RNA10","N_B_RNA11","N_W_RNA13","N_W_RNA15","N_W_RNA18"
"ENSG00000265141.2",0,0,0,0,1,0,2,0
"ENSG00000197241.3",0,0,2,2,0,0,0,3
"ENSG00000142583.17",230,326,548,3831,1603,135,811,504
"ENSG00000252404.1",0,0,0,0,0,0,0,0
"ENSG00000180758.11",99,342,318,318,452,242,272,288
"ENSG00000228526.7",50,106,78,92,96,168,111,183
"ENSG00000284357.1",0,0,0,0,0,0,0,0
"ENSG00000234546.3",13,67,54,45,46,47,56,45
"ENSG00000049239.12",880,3116,3230,2807,2158,2667,2918,3767
"ENSG00000171621.13",341,236,592,330,251,295,216,692
"ENSG00000284652.1",5,1,6,0,0,3,1,1
"ENSG00000284693.1",11,22,7,7,15,14,11,16
"ENSG00000252956.1",0,0,0,0,0,0,0,0
"ENSG00000235263.1",0,0,0,0,0,0,2,0
"ENSG00000171612.6",23,375,829,394,912,361,571,539
"ENSG00000231181.1",4,15,9,2,12,16,30,29
"ENSG00000188807.12",89,163,164,127,142,179,120,163
"ENSG00000171608.15",66,164,141,185,85,120,148,143
"ENSG00000179840.5",0,0,0,0,0,0,0,0
"ENSG00000233268.3",0,0,0,0,0,0,0,0
"ENSG00000231789.2",22,25,42,23,28,21,44,18
"ENSG00000171603.17",2657,10557,11356,7217,13246,10650,14873,8299
"ENSG00000271264.1",0,0,0,0,0,0,0,0
"ENSG00000280113.2",0,1,2,4,4,5,3,1
"ENSG00000178585.14",469,1372,1743,1206,1456,1280,1915,1121
"ENSG00000223989.1",0,0,0,0,4,0,1,0
"ENSG00000285701.1",0,0,0,4,0,0,0,0
"ENSG00000162441.11",352,1054,1407,1005,1373,833,1303,1028
"ENSG00000228150.1",0,9,2,6,1,2,5,5
"ENSG00000173614.13",101,348,418,255,528,307,351,290
"ENSG00000202415.1",0,0,2,1,4,3,6,5
"ENSG00000283611.2",0,0,0,0,0,0,0,0
"ENSG00000265521.1",0,1,1,3,4,2,4,1
"ENSG00000241326.1",0,0,0,0,0,0,0,0
"ENSG00000162444.11",16,152,238,114,312,168,327,132
"ENSG00000130939.18",409,1840,2391,1690,2905,2097,2933,2163
"ENSG00000224340.1",0,0,0,0,0,0,0,0
"ENSG00000233623.2",0,2,7,5,10,18,10,10
"ENSG00000201746.1",0,0,0,1,2,2,0,0
"ENSG00000054523.17",976,4344,5058,3625,5633,4493,5794,4830
"ENSG00000264881.1",0,0,0,0,0,0,2,1
"ENSG00000199562.1",2,12,17,12,11,6,24,15
"ENSG00000264501.2",0,0,0,0,0,0,0,0
"ENSG00000284735.1",0,0,0,0,2,0,2,0
"ENSG00000284642.1",0,5,16,3,20,23,21,21
"ENSG00000142657.20",285,1615,2533,1567,2188,1333,2041,1576
"ENSG00000271989.1",0,0,0,0,0,0,0,3
"ENSG00000251503.8",0,0,1,0,0,0,1,0
"ENSG00000175279.21",0,15,18,7,12,5,18,7
"ENSG00000241563.3",0,3,1,0,5,2,2,2
