"","M_B_RNA1","M_B_RNA2","M_B_RNA4","N_W_RNA7","M_B_RNA8","M_B_RNA9","N_W_RNA13","N_W_RNA15","N_W_RNA18","M_B_RNA19","M_B_RNA20"
"ENSG00000201992.1",0,0,0,0,0,0,1,1,0,0,0
"ENSG00000202499.1",2,0,0,0,0,0,0,2,0,1,0
"ENSG00000200638.1",0,0,0,0,0,0,0,0,1,1,0
"ENSG00000201907.1",2,5,0,0,5,0,1,1,0,4,1
"ENSG00000200564.1",0,0,0,0,0,0,0,1,0,0,0
"ENSG00000272460.1",0,0,0,0,0,0,0,1,0,1,0
"ENSG00000200478.1",0,0,0,0,0,0,0,0,4,1,0
"ENSG00000201143.1",0,0,0,1,1,2,1,3,5,2,7
"ENSG00000202373.1",0,0,0,0,0,0,0,1,2,1,2
"ENSG00000202261.1",0,0,0,0,1,0,0,0,0,0,0
"ENSG00000280234.1",27,26,0,10,51,28,93,90,33,34,41
"ENSG00000212380.1",2,0,0,1,6,0,0,9,1,3,18
"ENSG00000276844.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000212528.1",0,0,0,0,2,0,1,0,0,0,0
"ENSG00000201634.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000239169.1",1,0,0,2,0,1,0,0,0,0,0
"ENSG00000114062.19",1289,1027,872,7570,6047,1244,4380,5039,5290,5017,5612
"ENSG00000261529.1",1,4,15,40,91,11,55,57,89,87,66
"ENSG00000235731.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000223628.2",0,0,0,0,0,1,0,0,0,1,2
"ENSG00000206190.11",220,391,76,359,238,172,425,406,586,240,224
"ENSG00000274307.1",6,18,0,13,9,4,11,9,18,5,13
"ENSG00000222123.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000266517.1",0,0,0,0,0,0,3,0,2,0,0
"ENSG00000259011.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000206187.3",0,0,0,0,0,0,0,0,0,0,3
"ENSG00000258965.2",0,0,1,0,0,0,0,0,0,0,0
"ENSG00000212604.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000258931.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000259150.5",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000235160.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000166206.14",92,32,0,1342,749,80,436,560,486,154,686
"ENSG00000278840.1",0,0,0,12,14,0,1,2,3,0,5
"ENSG00000235518.2",0,0,0,0,0,0,1,1,3,4,6
"ENSG00000242793.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000186297.11",7,11,0,4,14,0,11,4,7,0,4
"ENSG00000259122.2",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000182256.12",102,91,250,526,1118,19,506,967,444,492,251
"ENSG00000228740.2",0,0,0,0,0,0,2,0,0,0,0
"ENSG00000214254.3",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000200326.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000258624.1",5,0,0,10,27,0,8,8,11,9,1
"ENSG00000261426.1",16,3,0,41,115,3,83,67,54,79,53
"ENSG00000258970.1",0,0,0,0,0,0,0,0,0,1,0
"ENSG00000259152.1",1,4,0,1,11,1,4,11,3,4,6
"ENSG00000259168.1",0,0,0,1,0,5,3,0,0,148,0
"ENSG00000258594.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000258853.1",0,0,0,0,0,0,1,0,0,0,0
"ENSG00000104044.15",3,41,3,6,10,2,6,13,2,0,15
"ENSG00000232394.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000228992.2",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000128731.16",1569,2053,1160,5275,3770,1505,3992,5505,4374,3420,3897
"ENSG00000256338.2",14,9,1,18,5,1,10,14,14,7,7
"ENSG00000261401.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000261561.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000237850.7",0,0,0,0,0,0,1,0,0,0,0
"ENSG00000261497.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000153684.15",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000276891.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000261524.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000276928.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000274532.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000266039.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000284628.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000260159.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000261365.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000263964.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000274814.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000260053.2",2,0,0,0,0,0,0,0,0,0,0
"ENSG00000183629.13",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000276955.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000261041.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000227717.4",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000260444.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000261581.1",0,1,0,0,0,0,0,0,0,0,0
"ENSG00000206149.10",182,247,118,322,324,262,771,667,583,274,149
"ENSG00000254398.1",0,3,0,0,0,0,0,0,0,0,0
"ENSG00000188626.6",0,22,15,8,2,8,5,2,0,3,6
"ENSG00000274632.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000261480.1",0,0,0,0,0,0,0,1,0,0,2
"ENSG00000248334.6",18,26,17,124,139,24,105,83,79,40,71
"ENSG00000260844.2",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000232431.3",0,0,0,0,0,0,0,0,0,0,1
"ENSG00000256951.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000261377.5",17,0,0,5,5,14,21,8,5,4,31
"ENSG00000271616.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000261649.6",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000270301.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000034053.14",23,102,7,153,42,74,86,92,110,318,81
"ENSG00000259277.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000104059.4",3,1,4,38,38,103,31,39,46,24,60
"ENSG00000259299.1",4,2,1,8,3,10,7,3,2,7,10
"ENSG00000252868.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000185115.5",178,157,197,901,634,95,345,731,557,227,584
"ENSG00000259690.1",4,0,0,11,33,13,7,23,24,7,21
"ENSG00000259814.1",0,0,0,0,0,2,0,0,0,0,0
"ENSG00000259300.2",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000256802.2",1,1,0,2,6,1,1,2,1,5,1
"ENSG00000104067.16",2006,1607,2183,12478,8117,1900,5100,7433,7425,9351,5567
"ENSG00000259644.1",15,3,6,36,44,24,47,40,66,121,36
"ENSG00000234664.1",40,19,13,135,87,14,59,108,91,97,84
"ENSG00000259523.1",2,0,17,15,10,5,11,11,21,15,5
"ENSG00000259749.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000259647.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000260174.1",0,6,0,1,1,0,0,1,3,0,0
"ENSG00000229389.2",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000179938.12",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000273818.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000261792.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000178081.12",0,0,4,2,0,0,3,0,1,0,0
"ENSG00000207432.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000261247.1",0,0,0,2,2,0,0,0,0,0,0
"ENSG00000277637.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000260897.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000261747.3",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000259906.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000225930.4",0,0,0,0,0,0,0,0,1,0,0
"ENSG00000259993.1",0,0,0,0,0,0,0,0,0,1,0
"ENSG00000206972.1",1,0,0,0,0,0,0,0,0,0,0
"ENSG00000270955.1",0,0,0,0,0,0,0,0,2,0,0
"ENSG00000279417.1",0,0,0,0,0,1,0,0,0,0,0
"ENSG00000238783.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000166664.13",4,6,2,8,4,2,15,8,11,2,11
"ENSG00000263070.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000238519.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000274966.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000186399.10",6,13,22,18,7,33,22,19,25,23,37
"ENSG00000274424.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000271333.1",0,0,0,0,0,5,0,0,0,0,1
"ENSG00000215302.8",7,11,1,63,54,20,32,36,72,40,93
"ENSG00000270055.1",32,14,20,49,45,20,62,58,71,49,67
"ENSG00000283345.1",0,0,0,3,0,5,4,11,7,0,9
"ENSG00000260784.1",0,0,0,0,0,0,1,0,1,0,1
"ENSG00000260693.1",0,0,0,18,12,20,2,27,10,18,19
"ENSG00000178115.11",5,1,0,1,4,5,4,2,5,1,9
"ENSG00000277031.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000259890.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000260128.6",0,0,0,0,2,0,0,0,2,0,3
"ENSG00000207430.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000261794.1",0,3,0,4,2,2,10,4,8,0,8
"ENSG00000270016.1",1,0,0,4,4,1,10,11,5,7,15
"ENSG00000277467.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000269930.1",0,0,0,1,1,0,0,0,1,7,5
"ENSG00000247728.2",3,5,0,23,15,7,38,31,18,8,19
"ENSG00000285077.1",3,0,0,2,13,1,5,8,5,9,4
"ENSG00000284906.1",0,0,0,5,7,10,1,6,12,1,6
"ENSG00000285035.1",0,0,0,2,1,0,1,0,0,1,0
"ENSG00000269974.1",0,0,4,3,1,1,6,4,7,6,8
"ENSG00000187951.11",3,0,7,24,8,22,15,23,23,8,64
"ENSG00000206846.1",0,0,0,1,0,0,0,0,1,0,4
"ENSG00000284783.1",0,0,0,0,0,0,0,0,2,1,1
"ENSG00000103832.10",0,0,0,1,0,3,1,0,6,3,1
"ENSG00000278696.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000259845.1",8,1,0,6,13,3,5,0,8,0,0
"ENSG00000260382.1",0,1,0,0,0,0,0,1,1,0,0
"ENSG00000261628.1",0,0,0,1,17,4,4,1,0,0,0
"ENSG00000198690.9",620,548,297,1627,1628,468,1859,2036,1534,1361,1520
"ENSG00000270015.1",80,80,62,101,163,125,180,202,180,204,147
"ENSG00000166912.16",571,469,589,2073,1994,341,1868,2818,1592,594,1741
"ENSG00000212526.1",0,0,0,1,7,2,5,4,3,5,4
"ENSG00000134160.13",0,0,0,0,1,0,0,0,0,0,0
"ENSG00000259720.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207702.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000259448.2",3,8,0,10,3,3,5,24,6,1,18
"ENSG00000259772.6",0,0,0,0,0,0,0,1,0,0,0
"ENSG00000169926.10",262,413,176,961,338,426,568,841,959,435,965
"ENSG00000259179.1",0,0,0,0,0,0,0,0,0,1,0
"ENSG00000259696.2",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000169918.9",21,28,13,72,46,21,57,47,42,121,45
"ENSG00000259358.1",4,0,0,17,20,7,27,12,28,38,23
"ENSG00000277500.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000175344.17",70,26,16,107,72,16,112,60,113,103,103
"ENSG00000206849.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000201084.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000279912.1",0,0,0,0,0,0,0,0,0,1,3
"ENSG00000271078.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207257.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000260211.2",0,0,0,0,0,2,0,0,0,0,0
"ENSG00000260642.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000261491.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000249931.4",0,1,0,0,3,1,6,2,1,0,3
"ENSG00000275776.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000215304.3",0,0,0,4,0,0,0,2,0,0,2
"ENSG00000261279.5",0,0,0,0,0,0,0,1,3,0,0
"ENSG00000206987.1",0,0,0,1,0,0,0,0,0,4,0
"ENSG00000261708.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000206127.10",2,0,0,26,10,4,9,17,13,3,16
"ENSG00000274076.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000270789.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000261375.1",3,0,0,0,0,0,0,1,0,0,0
"ENSG00000254912.2",3,0,0,23,7,1,4,0,3,2,7
"ENSG00000223509.8",94,64,136,164,235,127,199,239,177,121,346
"ENSG00000261064.1",12,7,0,13,16,18,45,25,23,3,39
"ENSG00000276724.1",0,0,0,2,7,1,5,1,6,0,5
"ENSG00000262728.5",3,3,7,10,10,1,20,16,9,5,10
"ENSG00000232653.8",25,15,13,87,154,40,164,44,104,47,155
"ENSG00000277464.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000244952.2",0,1,21,5,12,1,0,14,5,0,2
"ENSG00000198826.10",47,12,48,182,133,27,53,98,123,110,169
"ENSG00000285948.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000166922.8",6,2,0,34,24,4,8,14,20,3,42
"ENSG00000241818.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000259721.1",2,0,0,0,7,0,4,5,3,0,0
"ENSG00000166923.10",63,44,200,514,860,424,232,417,229,25,18
"ENSG00000248905.8",233,429,114,1446,1465,431,1625,1644,1693,219,1357
"ENSG00000259392.2",11,5,0,4,2,12,16,5,9,1,12
"ENSG00000212415.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000259686.1",2,0,3,0,0,0,0,1,0,0,0
"ENSG00000279958.1",0,0,0,9,0,3,1,1,8,0,0
"ENSG00000215296.10",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000259446.5",0,0,0,3,1,0,1,2,0,0,1
"ENSG00000198838.13",24,21,222,225,162,110,159,194,261,27,77
"ENSG00000200008.1",0,0,0,1,0,0,0,1,0,0,0
"ENSG00000276702.1",0,0,0,7,5,0,7,5,6,18,8
"ENSG00000259408.2",13,2,0,28,30,20,40,31,45,114,27
"ENSG00000259287.2",10,2,0,32,13,13,28,20,46,53,18
"ENSG00000169857.7",93,75,25,300,208,96,281,281,292,301,164
"ENSG00000184984.9",0,0,0,3,0,4,1,1,5,1,4
"ENSG00000278472.1",0,0,0,13,17,0,12,17,30,21,12
"ENSG00000259505.1",0,0,0,0,0,0,0,0,2,0,0
"ENSG00000134153.9",389,158,303,1569,1280,125,610,1252,896,600,639
"ENSG00000243094.1",4,15,0,4,0,2,12,9,6,10,5
"ENSG00000182405.5",48,10,1,108,69,62,98,128,100,111,140
"ENSG00000134152.10",189,156,200,1179,1158,409,775,796,875,946,1105
"ENSG00000128463.12",321,295,240,1629,1114,204,558,1232,797,719,775
"ENSG00000140199.11",376,233,337,963,938,286,968,1197,1107,506,967
"ENSG00000259468.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207091.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000182117.5",286,279,139,1234,792,107,562,1115,775,651,442
"ENSG00000184507.15",0,0,0,0,0,0,0,0,0,0,2
"ENSG00000176454.13",61,129,72,115,60,52,120,77,158,21,168
"ENSG00000259904.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000175265.17",189,437,150,770,447,424,954,320,490,384,557
"ENSG00000221649.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000260639.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000261081.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000279092.1",1,2,0,9,4,1,2,3,35,3,3
"ENSG00000259917.1",9,11,6,10,3,11,12,8,18,6,16
"ENSG00000261559.1",1,0,0,2,0,0,0,0,0,0,0
"ENSG00000278582.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000215252.11",235,342,195,935,879,191,667,856,1254,1303,1432
"ENSG00000221065.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000259892.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000252425.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000261304.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000159248.4",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000250007.6",1,0,0,0,0,0,0,1,0,0,1
"ENSG00000159251.7",31,93,258,154,34,10,27,366,122,2,17
"ENSG00000259751.1",0,0,0,2,6,0,7,9,1,2,2
"ENSG00000021776.10",983,775,692,4593,3391,580,2324,3357,3248,2429,3024
"ENSG00000231409.3",10,10,18,4,4,1,0,4,1,0,1
"ENSG00000198146.4",625,397,388,4584,3471,517,1920,3481,2601,1943,2881
"ENSG00000279364.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000259181.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000280396.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000259587.2",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000259665.1",0,0,0,0,6,0,3,9,0,0,1
"ENSG00000255192.5",5,3,0,0,1,3,19,6,7,8,11
"ENSG00000259397.3",0,3,0,0,2,1,0,1,0,0,0
"ENSG00000259336.1",17,10,30,26,37,10,82,29,30,42,56
"ENSG00000259592.1",2,11,3,14,6,9,16,9,17,4,15
"ENSG00000259516.2",1,0,0,2,4,2,7,6,0,0,0
"ENSG00000134146.11",66,54,9,511,563,104,417,422,371,573,647
"ENSG00000259710.1",0,0,0,0,0,0,0,1,0,0,0
"ENSG00000259585.2",8,15,2,4,10,16,48,21,11,22,20
"ENSG00000265102.1",0,0,0,11,10,16,16,10,10,13,12
"ENSG00000259688.1",0,0,0,0,0,0,0,1,0,0,0
"ENSG00000259411.1",0,0,0,0,0,0,1,0,0,0,0
"ENSG00000248079.2",3,2,0,13,8,9,18,27,10,5,14
"ENSG00000259217.2",1,0,0,0,0,0,0,0,0,0,0
"ENSG00000265098.3",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000259639.6",1,0,0,0,0,0,0,0,0,0,0
"ENSG00000259245.1",0,0,0,0,2,0,0,4,0,0,0
"ENSG00000259395.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000259737.6",1,0,69,7,0,2,15,39,20,1,8
"ENSG00000270500.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000186073.12",69,44,138,277,348,72,223,214,433,149,530
"ENSG00000261635.2",1,13,0,5,3,11,13,5,20,3,5
"ENSG00000261315.2",6,3,0,16,18,16,24,21,72,16,16
"ENSG00000260582.1",0,0,0,0,0,0,1,0,0,0,0
"ENSG00000261191.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000223518.5",0,11,0,2,1,0,0,4,1,0,10
"ENSG00000212511.2",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000259280.1",4,1,0,3,0,0,1,0,1,0,10
"ENSG00000134138.19",1007,715,796,1612,1867,623,1761,2263,1558,91,3830
"ENSG00000277202.1",0,0,22,19,9,2,9,10,4,0,23
"ENSG00000206676.1",3,0,0,13,13,3,8,3,9,0,23
"ENSG00000259460.1",8,5,0,1,1,2,3,2,3,0,2
"ENSG00000274444.1",1,0,0,0,3,1,11,2,1,0,6
"ENSG00000274216.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000270304.1",0,0,0,0,0,3,0,0,0,0,0
"ENSG00000259434.1",0,0,0,0,0,0,1,0,0,0,0
"ENSG00000243122.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000166069.13",0,0,0,0,0,0,1,0,0,0,0
"ENSG00000259225.6",0,0,0,1,3,3,2,3,6,0,3
"ENSG00000236914.3",3,22,0,9,10,0,13,16,3,3,29
"ENSG00000259380.5",2,1,0,0,1,1,9,2,0,2,2
"ENSG00000166068.12",349,304,300,1605,1685,343,1426,957,1543,538,2453
"ENSG00000171262.11",219,151,190,1408,1288,195,936,1195,1039,878,1110
"ENSG00000259192.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000172575.11",39,26,24,87,69,40,51,40,73,43,167
"ENSG00000259326.1",3,12,0,28,30,1,27,22,23,31,63
"ENSG00000259598.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000175779.2",2,0,19,8,0,7,2,6,3,13,16
"ENSG00000259731.2",0,0,0,0,0,0,0,0,0,0,3
"ENSG00000274281.1",5,0,0,10,1,0,22,8,7,12,3
"ENSG00000259345.6",208,91,23,350,222,123,652,529,452,324,555
"ENSG00000259278.1",0,0,0,0,0,0,0,2,2,0,3
"ENSG00000259423.2",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000175746.6",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000259447.1",43,16,0,78,52,26,162,146,92,14,112
"ENSG00000259269.1",0,0,0,0,2,0,0,1,0,0,0
"ENSG00000259390.3",0,0,0,6,1,3,4,4,2,3,4
"ENSG00000137801.10",1919,2840,1451,21833,12206,6630,7814,7025,26723,5948,13784
"ENSG00000276107.1",20,6,1,236,187,141,263,141,343,134,349
"ENSG00000278621.1",1,0,0,3,1,2,0,0,3,3,0
"ENSG00000150667.7",11,0,12,26,60,30,13,25,45,39,27
"ENSG00000259580.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000261136.1",5,0,0,9,6,2,13,11,14,23,8
"ENSG00000166073.10",203,682,29,573,990,72,525,839,479,754,370
"ENSG00000259432.1",5,0,0,5,18,1,12,10,9,15,26
"ENSG00000246863.2",0,12,0,1,6,3,6,0,5,1,0
"ENSG00000200305.1",0,0,0,0,0,2,0,0,0,0,0
"ENSG00000128829.11",1144,1750,729,5126,4231,960,3545,4031,2771,4144,2608
"ENSG00000259389.2",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000140319.10",910,1120,635,5018,3447,812,2279,4503,3006,2410,2593
"ENSG00000248508.6",49,43,49,196,117,36,137,159,144,85,169
"ENSG00000259584.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000275636.1",0,0,0,6,0,0,1,0,0,1,3
"ENSG00000104081.13",175,58,101,290,435,368,446,796,249,142,395
"ENSG00000259409.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000259239.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000156970.12",16,32,9,107,38,51,51,37,50,81,94
"ENSG00000259288.6",5,0,0,0,1,0,1,0,1,0,1
"ENSG00000273786.1",0,0,0,0,0,0,0,0,0,1,0
"ENSG00000260648.3",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000137843.11",53,37,16,79,94,3,59,134,81,48,158
"ENSG00000279537.1",0,0,0,0,8,2,2,0,8,0,10
"ENSG00000176753.5",17,9,1,8,9,0,5,20,8,3,16
"ENSG00000279409.1",3,6,0,8,0,3,4,6,14,5,13
"ENSG00000137841.11",44,99,56,116,52,97,114,93,141,19,154
"ENSG00000230778.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000273855.1",3,0,0,0,2,1,0,0,5,0,0
"ENSG00000259307.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000244705.1",9,5,1,0,1,0,0,3,0,0,1
"ENSG00000259198.1",0,0,0,0,0,0,0,0,0,0,1
"ENSG00000259330.2",179,114,227,973,551,91,421,833,533,283,455
"ENSG00000188549.12",98,240,159,220,194,440,412,431,260,107,183
"ENSG00000252714.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000233041.8",0,0,5,5,8,0,5,2,0,12,1
"ENSG00000140323.5",5,16,0,16,17,5,23,19,15,13,7
"ENSG00000259368.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000128944.13",69,97,58,540,295,85,186,282,190,357,165
"ENSG00000128928.8",1588,1577,759,5471,2776,1451,3032,3282,2389,4237,2167
"ENSG00000140320.11",210,393,172,871,510,336,640,805,686,599,482
"ENSG00000259364.1",0,0,0,0,2,1,2,0,0,0,0
"ENSG00000259211.1",0,0,0,0,0,0,9,6,2,2,7
"ENSG00000169105.7",124,147,116,443,314,79,298,410,259,300,269
"ENSG00000244251.1",8,0,0,1,0,0,0,0,0,0,0
"ENSG00000259536.5",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000128891.15",209,237,133,749,520,308,457,578,494,399,397
"ENSG00000223313.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000166133.17",49,31,84,214,142,51,71,193,131,87,147
"ENSG00000203573.4",0,0,0,0,0,0,0,0,1,0,0
"ENSG00000137812.19",39,39,50,182,113,54,94,67,127,140,182
"ENSG00000265814.2",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000259254.1",0,0,0,0,0,0,0,0,1,0,0
"ENSG00000245849.7",112,111,73,264,291,208,450,372,320,538,312
"ENSG00000051180.16",0,0,0,1,1,0,1,2,1,0,6
"ENSG00000285396.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000137824.15",237,350,192,857,683,213,716,881,700,454,572
"ENSG00000271236.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000137880.5",39,63,24,144,135,28,141,137,106,31,89
"ENSG00000104129.9",170,229,127,361,328,187,427,345,370,238,329
"ENSG00000188277.9",1,1,0,8,12,0,8,4,15,1,22
"ENSG00000166140.17",134,227,81,380,337,150,439,450,338,303,355
"ENSG00000166143.9",0,0,0,6,2,1,2,8,5,17,13
"ENSG00000261183.5",78,89,22,288,167,70,175,276,226,104,128
"ENSG00000166145.14",1814,1504,1630,4574,4172,1394,2898,4447,3604,2962,2709
"ENSG00000104140.6",69,89,226,217,180,109,147,83,196,17,593
"ENSG00000274798.1",0,0,0,1,0,7,1,1,0,1,0
"ENSG00000104142.10",324,324,289,993,544,204,616,1016,706,478,572
"ENSG00000251161.3",3,1,0,7,4,7,11,6,9,4,5
"ENSG00000128917.7",22,111,69,56,76,138,83,46,48,26,162
"ENSG00000259405.1",1,0,0,1,0,0,1,0,2,0,0
"ENSG00000128965.12",3,4,65,29,12,28,32,28,53,4,23
"ENSG00000128908.16",674,678,554,2061,1938,690,1803,2032,2166,1978,1942
"ENSG00000259617.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000259463.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000259521.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000280036.1",9,12,1,22,30,19,37,40,56,83,33
"ENSG00000259547.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000283133.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000157021.9",7,3,0,1,2,0,4,3,9,0,7
"ENSG00000178997.11",0,0,0,7,0,0,1,0,1,0,0
"ENSG00000240847.3",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000187446.11",1550,1451,873,5706,3381,716,2778,4134,3307,4237,2290
"ENSG00000247556.6",1259,1297,996,5243,5290,1499,4017,5195,3665,2368,5176
"ENSG00000285920.1",0,0,0,0,0,0,0,0,0,0,0
"ENSG00000104147.8",1,0,0,15,10,2,12,6,6,6,11
"ENSG00000137804.12",6,0,0,13,18,6,12,6,14,26,23
"ENSG00000259396.1",0,0,0,0,0,2,1,0,0,0,0
"ENSG00000137806.8",57,45,84,382,235,42,208,384,241,173,202
