"","M_W_RNA6","N_W_RNA7","M_W_RNA12","N_W_RNA13","M_W_RNA14","N_W_RNA15","M_W_RNA16","M_W_RNA17","N_W_RNA18"
"ENSG00000132879.13",176,282,48,386,243,409,168,280,342
"ENSG00000116663.10",181,239,35,94,128,175,97,160,122
"ENSG00000116670.14",500,375,119,190,177,249,218,175,286
"ENSG00000162490.6",7,5,0,8,12,1,6,3,10
"ENSG00000177674.15",1575,1462,283,1270,890,1966,537,955,1049
"ENSG00000215910.7",3,0,0,2,0,1,0,0,4
"ENSG00000177553.6",0,0,0,0,1,0,0,0,0
"ENSG00000177000.12",3106,1720,747,1317,1112,1725,810,1304,1749
"ENSG00000011021.22",469,456,217,801,766,742,294,576,639
"ENSG00000276470.1",0,0,0,0,0,0,0,0,0
"ENSG00000278852.1",0,0,0,0,0,0,0,0,0
"ENSG00000175206.10",3,2,0,0,0,0,0,0,0
"ENSG00000275915.1",0,0,0,0,0,0,0,0,0
"ENSG00000120937.8",0,0,0,0,0,0,0,0,0
"ENSG00000224904.1",0,0,0,0,0,0,0,0,0
"ENSG00000285646.1",29,15,54,2,7,3,5,12,8
"ENSG00000199347.1",0,0,0,0,0,0,0,0,0
"ENSG00000201801.1",1,1,13,0,0,2,2,1,1
"ENSG00000116685.15",1029,1220,410,674,589,954,592,789,758
"ENSG00000083444.16",2103,2915,799,1470,1196,2506,1298,1483,1753
"ENSG00000116688.16",2926,3712,1579,2252,1831,3206,1795,2663,2530
"ENSG00000270914.1",0,0,0,0,0,0,0,0,0
"ENSG00000116691.10",265,203,22,210,138,191,127,101,165
"ENSG00000202461.1",0,0,0,0,0,0,0,0,0
"ENSG00000276869.1",0,0,0,0,0,0,0,0,0
"ENSG00000243539.3",0,0,0,0,0,0,0,0,0
"ENSG00000120949.14",1,2,0,1,3,0,1,2,3
"ENSG00000201135.1",0,0,0,0,0,0,0,0,0
"ENSG00000227875.2",0,0,0,0,0,0,0,0,0
"ENSG00000285604.1",0,0,0,0,0,0,0,0,0
"ENSG00000283789.1",0,0,0,0,0,0,0,0,0
"ENSG00000028137.18",182,299,45,175,257,187,142,180,320
"ENSG00000263676.1",0,0,0,0,1,0,0,0,0
"ENSG00000225196.2",0,0,0,0,0,0,0,0,0
"ENSG00000252969.1",0,0,0,0,0,0,0,0,0
"ENSG00000048707.15",10142,10774,8038,8082,5588,9088,6919,10715,11076
"ENSG00000239149.1",9,9,0,14,3,6,4,14,17
"ENSG00000229484.1",0,0,0,2,3,0,0,0,2
"ENSG00000162496.8",3366,3464,2010,2794,2103,3267,3397,4413,3251
"ENSG00000221340.1",4,7,0,10,1,2,3,10,9
"ENSG00000276830.1",2,1,0,4,3,2,1,3,4
