"","M_B_RNA1","M_B_RNA2","M_B_RNA4","M_W_RNA6","M_B_RNA8","M_B_RNA9","M_W_RNA12","M_W_RNA14","M_W_RNA16","M_W_RNA17","M_B_RNA19","M_B_RNA20"
"ENSG00000253022.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000229519.2",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000173662.20",0,0,0,3,2,0,8,0,1,0,1,3
"ENSG00000204859.12",234,300,94,410,342,302,100,544,276,348,409,422
"ENSG00000162413.16",419,466,529,741,578,458,261,623,511,729,275,884
"ENSG00000116273.5",189,254,179,605,390,193,126,375,449,476,294,563
"ENSG00000041988.15",91,149,71,234,192,110,62,185,174,162,123,139
"ENSG00000007923.15",288,493,154,930,629,362,902,593,826,738,926,628
"ENSG00000228750.6",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000284744.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000237436.1",3,0,0,5,9,4,0,2,9,3,13,4
"ENSG00000171735.18",223,164,45,708,614,158,656,394,457,627,652,783
"ENSG00000227950.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000237365.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207056.1",0,0,0,0,0,0,0,0,1,0,0,0
"ENSG00000237402.1",0,0,0,0,0,1,0,0,0,0,0,1
"ENSG00000237728.2",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000225126.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000270171.1",0,1,0,1,0,0,0,0,2,3,6,2
"ENSG00000270035.1",1,0,6,3,3,1,0,13,8,4,14,13
"ENSG00000269978.1",0,4,0,3,0,4,0,6,2,2,8,7
"ENSG00000049245.12",602,506,518,2296,1975,453,2036,1611,1575,2424,793,2146
"ENSG00000269925.1",0,2,0,10,20,9,35,26,15,26,24,27
"ENSG00000049246.14",485,286,625,1862,1608,1030,866,1288,1048,1235,636,914
"ENSG00000236266.1",0,8,0,0,5,0,0,0,0,0,0,0
"ENSG00000049247.13",0,0,0,1,1,0,0,20,3,1,4,29
"ENSG00000049249.8",12,9,0,7,17,18,8,20,13,8,1,43
"ENSG00000270330.1",0,0,0,1,0,0,0,0,0,0,0,0
"ENSG00000116288.12",918,831,743,3411,3182,316,2923,1520,2816,2789,2083,1857
"ENSG00000200344.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000284747.1",0,0,0,6,22,8,0,9,1,12,21,16
"ENSG00000284716.1",0,5,0,3,3,0,0,5,0,3,0,4
"ENSG00000116285.12",380,648,430,14284,2512,456,1946,1146,1954,3274,2246,4364
"ENSG00000238290.1",6,47,14,8,7,2,43,13,3,22,0,18
"ENSG00000232848.1",2,0,0,1,0,0,0,0,1,0,2,0
"ENSG00000229305.1",0,0,0,0,0,1,0,1,4,0,0,0
"ENSG00000227634.2",0,0,0,1,1,0,0,0,0,0,0,2
"ENSG00000200975.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000233645.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000251977.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000162426.14",26,26,36,32,56,12,0,59,27,47,26,24
"ENSG00000252254.1",0,0,0,3,0,0,0,0,2,0,0,0
"ENSG00000142599.17",2472,3565,1660,5737,6232,3198,6557,5089,4743,4884,8766,5430
"ENSG00000232912.5",0,0,0,4,7,2,0,10,9,7,7,12
"ENSG00000221083.1",1,0,0,1,4,4,0,4,4,3,11,4
"ENSG00000270282.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000234619.1",0,0,0,0,0,0,0,0,1,0,0,0
"ENSG00000224315.2",8,23,11,22,29,29,14,47,6,55,54,59
"ENSG00000222511.2",0,0,0,1,17,1,2,3,4,8,6,9
"ENSG00000226545.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000228423.2",10,18,10,7,31,16,9,27,1,27,24,39
"ENSG00000229716.2",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000074800.15",2350,2539,2215,8505,6538,1337,3159,3573,15479,7309,3837,5356
"ENSG00000274258.1",0,0,0,0,0,0,0,0,0,0,2,0
"ENSG00000230679.1",1,1,0,8,6,0,0,5,5,10,1,3
"ENSG00000201725.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000238249.2",0,0,0,0,1,0,0,0,0,0,2,1
"ENSG00000232208.2",0,0,0,0,0,0,0,0,0,0,0,4
"ENSG00000232663.2",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000131686.14",3,0,0,0,0,0,0,1,0,0,0,0
"ENSG00000265141.2",1,0,0,0,0,2,0,0,1,0,0,0
"ENSG00000197241.3",0,0,0,7,6,0,0,0,0,5,6,0
"ENSG00000142583.17",629,1604,41,70,1341,18,13,1029,25,3216,7,255
"ENSG00000252404.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000180758.11",130,233,97,201,342,148,112,211,150,304,120,277
"ENSG00000228526.7",54,187,45,35,72,156,60,93,53,156,35,163
"ENSG00000284357.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000234546.3",15,35,0,40,23,23,16,28,31,45,24,77
"ENSG00000049239.12",1248,1247,1128,2072,1918,1440,901,2299,2177,3090,1551,3124
"ENSG00000171621.13",123,271,131,443,348,254,244,307,186,648,237,439
"ENSG00000284652.1",4,5,0,2,4,1,0,3,1,1,2,3
"ENSG00000284693.1",7,0,0,10,7,6,6,10,16,12,8,15
"ENSG00000252956.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000235263.1",0,0,0,0,0,1,0,0,0,0,0,0
"ENSG00000171612.6",136,68,54,1065,644,83,639,297,802,460,1010,358
"ENSG00000231181.1",3,20,0,14,21,10,3,18,25,12,55,22
"ENSG00000188807.12",46,132,53,206,127,123,18,129,106,99,154,131
